pubid,gsid,univ
13472758771934449082,CgItEbQAAAAJ,Stanford University
13473964019470972736,uXEp3MIAAAAJ,NJIT
13474015851426763778,cNLW5O4AAAAJ,Rice University
13474163072212721430,M5W9tuUAAAAJ,Virginia Commonwealth University
13474163072212721430,zLLJimcAAAAJ,University of Florida
1347434344936023953,oCFvA2UAAAAJ,University of Florida
13474505550076154969,bUAYDkIAAAAJ,Tulane University
1347550797030691786,cgaU4UkAAAAJ,University of Minnesota
13476605797540188854,puOEoqoAAAAJ,University of Utah
13476944387849411230,h6jljQQAAAAJ,Cornell University
13477172923107680089,Gn5kfF8AAAAJ,University of Illinois at Chicago
13477354538507693637,s_YDrrgAAAAJ,University of Washington
13477579026834227184,xhUvqK8AAAAJ,University of Southern California
13477611772587686562,Jw1ccPYAAAAJ,George Mason University
134787452135278515,LAv0HTEAAAAJ,University of California - Berkeley
13480110447190013822,f6cjEJcAAAAJ,University of Central Florida
13480429863834794772,Ky1op0MAAAAJ,University of Chicago
13480757823011361528,MEt-KIwAAAAJ,Florida State University
13481328769674422541,VwQRddkAAAAJ,University of California - San Diego
13481582051555866651,YhKZXtcAAAAJ,Florida Atlantic University
13482056764601321094,Ls94lsAAAAAJ,University of Hawaii at Manoa
13482158720564683767,36SCzI0AAAAJ,University of Houston
13482161825317830589,lPM8k54AAAAJ,University of Pennsylvania
13482161825317830589,wB01auEAAAAJ,University of Wisconsin - Madison
13482183402919205362,r49_E2cAAAAJ,Columbia University
13482875014466052869,hXpZynkAAAAJ,Univ. of Illinois at Urbana-Champaign
13482875014466052869,RaINcuUAAAAJ,Univ. of Illinois at Urbana-Champaign
13483761914864422556,mN6_BKAAAAAJ,University of California - San Diego
13484146739001770419,fSQCT0YAAAAJ,Pennsylvania State University
13484146739001770419,UyeTBeoAAAAJ,Pennsylvania State University
13484195379576823630,8OYE6iEAAAAJ,Columbia University
13484871996999617634,bDrA1-8AAAAJ,University of Michigan
13484907227693416072,kLNLkgkAAAAJ,University of Memphis
13484907227693416072,V7gfCwsAAAAJ,University of Tennessee
13485182753991608943,0DpK1EMAAAAJ,Carnegie Mellon University
13485555455952427879,G5I0JlwAAAAJ,Florida State University
13486023469165381036,h5ZyE5wAAAAJ,Univ. of Illinois at Urbana-Champaign
13486024642885647869,5cJzDZEAAAAJ,Carnegie Mellon University
13486551960429755055,sAflhJUAAAAJ,University of Central Florida
13486893892059059668,i38QlUwAAAAJ,Stanford University
13486893892059059668,XEx1fZkAAAAJ,University of Texas at Austin
1348699309432569589,CpBXPVoAAAAJ,University of California - Irvine
13487039873891435297,d97bGd8AAAAJ,University of California - Berkeley
134872472956997891,6m1ptOgAAAAJ,University of Utah
13487408897617511483,FaY_RgsAAAAJ,University of California - Irvine
13487408897617511483,FHGBC58AAAAJ,Brigham Young University
13487878293442854077,aJdbHAoAAAAJ,Virginia Tech
13487878293442854077,rFpexEAAAAAJ,University of Washington
13487878293442854077,s_yIH3gAAAAJ,University of Iowa
13487878293442854077,xJyMo0MAAAAJ,University of Houston
13487914055074718848,myYVVuYAAAAJ,University of Rochester
13487929372997720456,_2UkAYEAAAAJ,University of California - Santa Cruz
13487929431192100484,06ldpDMAAAAJ,Dartmouth College
13488376517432100302,TZWVRR8AAAAJ,University of Washington
13489495689718266930,f28F1YUAAAAJ,University of Texas at Austin
13489620952051401961,pImSVwoAAAAJ,Massachusetts Institute of Technology
13490481393258710123,NWPDSEsAAAAJ,Carnegie Mellon University
13490799991632903261,oQsObk0AAAAJ,Stanford University
13491526145094984874,AN3f7iAAAAAJ,University of California - Riverside
13491526145094984874,x8UnxSoAAAAJ,University of California - Riverside
13491871662787864131,dufShEsAAAAJ,University of California - San Diego
13493949800456265396,MdTkXNYAAAAJ,Vanderbilt University
13494164382416252355,hkfVNCMAAAAJ,Rochester Institute of Technology
13494327090580089927,yK8fnhkAAAAJ,University of Minnesota
13495490681226155738,m9F7mIgAAAAJ,Northeastern University
13495490681226155738,puTV6X0AAAAJ,Boston College
13495490681226155738,tvBEoaMAAAAJ,Harvard University
13495501835944120338,UMf3YBMAAAAJ,University of Southern Mississippi
13496165357897467185,FJ-huxgAAAAJ,Johns Hopkins University
13496613085815506520,puOEoqoAAAAJ,University of Utah
13496791591699683596,BgGQiWkAAAAJ,North Carolina State University
13496791591699683596,HWSuYAEAAAAJ,North Carolina State University
1349719330754213513,gwC7rCUAAAAJ,Rutgers University
1349815738704851155,4C9naMgAAAAJ,University of California - Los Angeles
13498600359885177227,Pd8-ju0AAAAJ,Brown University
1349922948471179813,BfrPSGIAAAAJ,University of South Florida
13499271818568484196,egs3G64AAAAJ,Kansas State University
13499843115258043217,GqnNG-kAAAAJ,University of Tennessee
13499940345999774433,3WEijrIAAAAJ,University of Massachusetts Lowell
13500132780696922908,Da-s1FQAAAAJ,University of California - Riverside
13500236718681688357,-YOtPcIAAAAJ,University of Colorado Boulder
13500724063002954222,aC5315UAAAAJ,Carnegie Mellon University
13500862836919588578,TKSjVTUAAAAJ,University of California - Santa Cruz
13500865400888570745,r5U-D7YAAAAJ,Columbia University
13501025456139341921,VpfWvTUAAAAJ,Washington State University
13501908709902460260,vth4SIcAAAAJ,University of California - Davis
13502067422500119711,ATOfqHEAAAAJ,University of Maryland - College Park
13502564130799575758,8TyIlFgAAAAJ,Colorado School of Mines
13503077819838448606,UKqaI5IAAAAJ,University of Utah
13503161903370453249,PkfChMgAAAAJ,University of California - Berkeley
13503161903370453249,urTiL7QAAAAJ,University of California - Berkeley
13503676302791596230,XaFT1o4AAAAJ,Northwestern University
13503699071039517682,nOF9akgAAAAJ,University of New Mexico
13503742830772526168,8rmks2cAAAAJ,Iowa State University
13503742830772526168,iCWiQi8AAAAJ,Iowa State University
13504182285159420463,W7yeGUoAAAAJ,Carnegie Mellon University
13504195592712889691,kqPhodQAAAAJ,University of Pennsylvania
13504312354833181501,MKSxZp4AAAAJ,Georgia Institute of Technology
13504354185659926861,pdSgBVQAAAAJ,University of California - Davis
13504984332829016299,hJuusUEAAAAJ,Dartmouth College
13505341922220327233,a1ngrCIAAAAJ,Massachusetts Institute of Technology
13505341922220327233,bBHxY_MAAAAJ,University of Chicago
13505919669311128590,zlzK-v0AAAAJ,Arizona State University
1350614354913117283,Uguj_LUAAAAJ,Oregon State University
13506176023406304653,cLssJjcAAAAJ,University of Texas at Arlington
13506478265570717782,wkC9xHMAAAAJ,Carnegie Mellon University
13506728991335144594,OJKibFgAAAAJ,University of Central Florida
1350674737921151771,2T3H4ekAAAAJ,University of South Carolina
13507421002709047294,2JMaTKsAAAAJ,Johns Hopkins University
13508129718628979023,jDXlUyQAAAAJ,Univ. of Colorado Colorado Springs
13508388846478061353,BbzYzsgAAAAJ,University of California - Berkeley
13508689018337819898,ejWHC-cAAAAJ,University of California - Irvine
13509214288917705296,2a5XgNAAAAAJ,Georgia Institute of Technology
13509386809877621869,eoRn6NkAAAAJ,Stony Brook University
13509496920086114692,45vFd_0AAAAJ,University of North Texas
13509681199448544683,jwxhFAQAAAAJ,George Mason University
13509865431948977639,4C9naMgAAAAJ,University of California - Los Angeles
13509972363871850361,82FA9YIAAAAJ,Princeton University
13510036795006829217,B_rKfusAAAAJ,Stanford University
13510050550534270283,VBXG4CwAAAAJ,University of California - Los Angeles
13510422096229572529,f2Y5nygAAAAJ,West Virginia University
13510444693755220603,xTjH_GAAAAAJ,Indiana University
13510638128874561525,pswXDJgAAAAJ,University of Illinois at Chicago
13510638128874561525,ZnT-QpMAAAAJ,TTI Chicago
13510652661296732646,4e2pnKYAAAAJ,University of Minnesota
1351137010254383385,LkoaA0gAAAAJ,Northeastern University
1351137010254383385,pWZ7c4MAAAAJ,University of Arizona
13511400251111467141,CpBXPVoAAAAJ,University of California - Irvine
13511583142923802196,3siz6_0AAAAJ,Rutgers University
1351171388423866519,vrbjXlMAAAAJ,Carnegie Mellon University
13511987979557749736,Z6vGQasAAAAJ,Air Force Institute of Technology
13512231924588950319,Er-gEaoAAAAJ,Duke University
13512904353269704767,KWqO1CgAAAAJ,Univ. of Illinois at Urbana-Champaign
13514636092601151994,8OW3TMMAAAAJ,Purdue University
13514636092601151994,BxbKTYkAAAAJ,Stony Brook University
13514899091346877025,BUJPA5QAAAAJ,Northwestern University
13515154993838085358,HvwPRJ0AAAAJ,University of California - Berkeley
13515424314256827516,EpQ_sDEAAAAJ,University of Texas at Austin
13516257814976233883,vIqWvgwAAAAJ,Yale University
13517989168983822246,IEHo6YcAAAAJ,North Carolina State University
13518680234747701599,jWx3qtIAAAAJ,Stony Brook University
13518891443157728068,ORr4XJYAAAAJ,Cornell University
13519752467773983373,hXpZynkAAAAJ,Univ. of Illinois at Urbana-Champaign
13519786902405590533,8VkvOEEAAAAJ,University of Wisconsin - Madison
13519786902405590533,C1skWKgAAAAJ,University of Wisconsin - Madison
13520344400680126261,5fiQ8-YAAAAJ,Univ. of Illinois at Urbana-Champaign
13520398109970606093,NHIpV98AAAAJ,University of California - Berkeley
13520535859328195683,ty7wIXoAAAAJ,University of Houston
13521625429683027729,UyeTBeoAAAAJ,Pennsylvania State University
13521849927943786340,nbpafUkAAAAJ,TTI Chicago
13521925165871413950,lsYXBx8AAAAJ,Massachusetts Institute of Technology
13522230932354819890,enjXdH4AAAAJ,Emory University
13523200334681381944,o-xM3oMAAAAJ,University of Missouri
13523950661460526530,VIwtdckAAAAJ,Georgia Institute of Technology
13525010088375698953,ID4dOvAAAAAJ,Oregon State University
13525010088375698953,vx6BwmwAAAAJ,University of South Florida
13525388516378876867,bAipNH8AAAAJ,University of California - Los Angeles
13525388516378876867,r5U-D7YAAAAJ,Columbia University
135254613949533910,8fztli4AAAAJ,University of California - Berkeley
13526140954663631572,WV7XovQAAAAJ,Washington University in St. Louis
13526209319561818583,_nyTrU0AAAAJ,University of California - Riverside
13526252080579912365,Z8U0BwcAAAAJ,Carnegie Mellon University
1352638469759634756,P-6kCNMAAAAJ,University at Buffalo
1352638469759634756,ruIgbscAAAAJ,University at Buffalo
13526491610540592726,u4v19dYAAAAJ,Emory University
13526518523804445441,bQYoSuUAAAAJ,Clemson University
13526902874439368646,GIle-VwAAAAJ,Brown University
13527031830588860737,YhWnhQEAAAAJ,Iowa State University
13527161790546359508,kXZaMu8AAAAJ,University of Central Florida
13527262481498138899,p_Un9ssAAAAJ,George Mason University
13527411078889734659,Z9W_SPAAAAAJ,Rochester Institute of Technology
13528196264672333130,DTthB48AAAAJ,Johns Hopkins University
13528384036448308862,5nmElSoAAAAJ,Stony Brook University
13529554371210339564,9jmmp5sAAAAJ,Georgia Institute of Technology
13529554371210339564,CCGI7x4AAAAJ,Georgia Institute of Technology
1352962289418464170,qMOS01AAAAAJ,Massachusetts Institute of Technology
13530029355426417460,gqB23VMAAAAJ,University of California - Los Angeles
13530029355426417460,h3gpLYAAAAAJ,University of Washington
13530352215383401507,2P1kinAAAAAJ,University of California - Riverside
13530528041534898258,pFRPgsIAAAAJ,University of Texas at Dallas
13530562462114117842,a9BMHCoAAAAJ,University of Arkansas - Little Rock
13530585785978696085,j8ULfMsAAAAJ,Worcester Polytechnic Institute
13530775519468313195,wg3lXyYAAAAJ,University of Colorado Boulder
13530777723644680584,-Y_xfI8AAAAJ,Florida International University
13531653120571912816,VX7d5EQAAAAJ,Cornell University
13532054286880695534,X4SbSTAAAAAJ,University of Tennessee
13532224375594222759,smEOOBsAAAAJ,University of Florida
13532224375594222759,xG9XC2MAAAAJ,University of Florida
13533406379384788070,OmPAy2EAAAAJ,University of Houston
13534405721701111859,B13SvmAAAAAJ,Carnegie Mellon University
13534726751617506175,sEAoh3MAAAAJ,Columbia University
13535470707587407077,QSY7ufMAAAAJ,University of California - Irvine
1353561311329402650,di_T0vwAAAAJ,Yale University
1353561311329402650,PbfkKLcAAAAJ,Carnegie Mellon University
13536144737701851156,cLssJjcAAAAJ,University of Texas at Arlington
13536430666736182596,dvvN6qsAAAAJ,University at Buffalo
1353718789634998512,1KRXBIwAAAAJ,Boston University
13537250255550139710,kqfLNK8AAAAJ,Georgia Institute of Technology
13537395457430497599,seB8s3wAAAAJ,University of Texas at San Antonio
13537423057621790788,BxbKTYkAAAAJ,Stony Brook University
13537648436398573385,00S6A4IAAAAJ,University of North Carolina
13538363967576821012,taqkLgoAAAAJ,Vanderbilt University
13539083972175487681,6n7rzokAAAAJ,Carnegie Mellon University
13539344476908191270,kXZaMu8AAAAJ,University of Central Florida
13539646439268359657,ytXtLjkAAAAJ,University of California - Davis
13539982462041020686,Gn5kfF8AAAAJ,University of Illinois at Chicago
13540004844953944715,61b6eYkAAAAJ,University of Texas at San Antonio
13540126758739292229,3-PRZG0AAAAJ,University of Notre Dame
13541038804828649129,f2Y5nygAAAAJ,West Virginia University
13541076207327618033,XuQW7ogAAAAJ,Cornell University
13541292612549223894,k3YaoIEAAAAJ,Brown University
13541399650201772605,6zq-c5cAAAAJ,University of Louisiana - Lafayette
13542256667918131536,5cJzDZEAAAAJ,Carnegie Mellon University
13542256667918131536,X5buTmMAAAAJ,Carnegie Mellon University
13543329412868270968,F-kvxQoAAAAJ,University of Pennsylvania
13543579571853685775,TrqegZIAAAAJ,Virginia Tech
13543831635708948549,D-RwB3YAAAAJ,Harvard University
13543868454215065136,uZg9l58AAAAJ,Stanford University
13544056404020048331,NiRqwkcAAAAJ,Rutgers University
13544794052643728429,rx56n5cAAAAJ,University of New Mexico
13547499501618801758,R9L_AfQAAAAJ,University of Delaware
13548180024260881071,TZWVRR8AAAAJ,University of Washington
13548609636142420127,XaFT1o4AAAAJ,Northwestern University
13548894324413768287,Nf4G12YAAAAJ,University of Washington
13549236386686072567,fF1B7mAAAAAJ,Univ. of Colorado Colorado Springs
13549277988361293141,4k0lzWwAAAAJ,University of Maryland - College Park
13549994228137894664,H4dLAw0AAAAJ,Rutgers University
1355008028629739290,Yn-Lm_QAAAAJ,University of Wisconsin - Madison
1355018374125347879,kqW_-2gAAAAJ,University of Southern California
1355018374125347879,YVfr3wwAAAAJ,University of Massachusetts Amherst
1355033572567908690,bfK_0uwAAAAJ,University of Central Florida
13550782660243394313,fU8fmEIAAAAJ,University of Pennsylvania
13551028581426207854,9-i5_74AAAAJ,CUNY
13551518342237230537,xPCVtawAAAAJ,University of Illinois at Chicago
13552037628073562274,GaKxFrcAAAAJ,Oregon State University
13552140679017752072,b2f-PjYAAAAJ,Purdue University
13552234208316640848,LtEcKBcAAAAJ,University at Buffalo
13552539322623036430,bqMA34cAAAAJ,University of Colorado Boulder
1355324192814119769,ruIgbscAAAAJ,University at Buffalo
13553280406217474172,UVGe0gQAAAAJ,University of California - Los Angeles
13553340975327205128,QYqwwwcAAAAJ,Georgia Institute of Technology
13554095257112703571,AhgjQ2QAAAAJ,University of California - Berkeley
13554095257112703571,SlZavnIAAAAJ,University of California - Berkeley
13554189659543785885,JpC9bmEAAAAJ,University of California - Santa Barbara
13554199584423155698,DnnCWN0AAAAJ,Stanford University
13554199584423155698,ZUzG5igAAAAJ,University of Wisconsin - Madison
13555528548735686506,aKkIMogAAAAJ,George Mason University
13555580059593802943,2Dz330cAAAAJ,Michigan State University
13555580059593802943,a8ZyGisAAAAJ,California Institute of Technology
13556796954049104728,Tn07pSYAAAAJ,University of Tennessee
13556836491321051787,krcH9ZQAAAAJ,University of Connecticut
13557312261906719099,8OYE6iEAAAAJ,Columbia University
13557312261906719099,HOrGe7wAAAAJ,University of California - Irvine
13557618908839922956,oQsObk0AAAAJ,Stanford University
13557982108404270171,C19mgCgAAAAJ,Rensselaer Polytechnic Institute
13558277604525836460,A6C3geAAAAAJ,Texas A&M University
135583570887598352,2JMaTKsAAAAJ,Johns Hopkins University
1355842500945011711,SlXqNooAAAAJ,Univ. of Illinois at Urbana-Champaign
1355850862353663771,3x4_nY4AAAAJ,University of Idaho
13559448299792573356,Jid_EAkAAAAJ,Northeastern University
13559824548945150881,cgaU4UkAAAAJ,University of Minnesota
13559926883216116525,A_A_LrsAAAAJ,Univ. of Illinois at Urbana-Champaign
13559926883216116525,ohjQPx8AAAAJ,Univ. of Illinois at Urbana-Champaign
13559967222127683993,9OukeycAAAAJ,Yale University
13560403933834033087,HaI6LesAAAAJ,Univ. of Illinois at Urbana-Champaign
13561070685457402536,5ZTO0uMAAAAJ,TTI Chicago
13561086995047994752,8MFFVgEAAAAJ,University of Pittsburgh
13561263327097097308,nq85o3QAAAAJ,University of Southern California
13561383571878812830,Q9DsCL4AAAAJ,Brigham Young University
13561383571878812830,u38Uv3QAAAAJ,University of Tennessee
13561383571878812830,XY4ky-YAAAAJ,Brigham Young University
13561891791011090043,OJKibFgAAAAJ,University of Central Florida
13563717740015764871,vukA8JAAAAAJ,North Carolina State University
13563866002045033822,PQakxO4AAAAJ,Rensselaer Polytechnic Institute
13564148459466999267,qr8Vo9IAAAAJ,Georgia Institute of Technology
13564419681624344901,NvKHgzkAAAAJ,University of California - Berkeley
13564855609248464853,pxFyKAIAAAAJ,Texas A&M University
13565287417735091718,7nlvOMQAAAAJ,Carnegie Mellon University
13565443063511301083,qWTgFQUAAAAJ,University of Colorado Boulder
13565912085813136990,qkdvKNoAAAAJ,University of Virginia
13566322152352172489,JN4tlsMAAAAJ,University of Utah
13566322152352172489,Y9Jw4lcAAAAJ,Ohio State University
13566571577179266129,casX4XgAAAAJ,University of Houston
13567318986450855211,_0x5unAAAAAJ,Oregon State University
13569321429276126662,Mkgn0qcAAAAJ,Northeastern University
13569373320799846755,xT19Jc0AAAAJ,University of California - Berkeley
13569527881764630576,92RPXm0AAAAJ,University of Georgia
13569949321219677643,ElqwScwAAAAJ,University of Minnesota
13570514532486768316,mIF9BowAAAAJ,University of Maryland - College Park
1357101447416989429,pcCS60IAAAAJ,Texas A&M University
1357101447416989429,uY6ek7sAAAAJ,University of Virginia
13571160755130493722,uT8fgagAAAAJ,Johns Hopkins University
13571593385636848068,uXUA1pgAAAAJ,NJIT
13572304523213851448,kxDm9EsAAAAJ,University of Michigan
13572369194635253793,fM-s2vQAAAAJ,Boston University
13572369194635253793,oO1GPO8AAAAJ,Binghamton University
13572731234638780137,4OvOdSgAAAAJ,California Institute of Technology
13572764286709895282,R7eCjGYAAAAJ,University of Southern California
13572837545409252920,X6P8JOIAAAAJ,Case Western Reserve University
13573214323059485893,wUNpA_sAAAAJ,University of Houston
13573376461585217856,LV1qWjgAAAAJ,Cornell University
13573376461585217856,ZvY6VHsAAAAJ,Rice University
13573882724962418494,VEGtG7YAAAAJ,Princeton University
13575094482755349200,aOy7jnQAAAAJ,Naval Postgraduate School
13576788980114883924,HP-yzF0AAAAJ,Northwestern University
13577714016641025775,nChgOjEAAAAJ,Arizona State University
13577803396063275873,AhgjQ2QAAAAJ,University of California - Berkeley
13578738933362596296,6enh82kAAAAJ,University of Illinois at Chicago
13578738933362596296,6Kuq1acAAAAJ,Ohio State University
13578738933362596296,o_xUNWkAAAAJ,University of Texas at Dallas
13580201134736287154,1Ed4HYUAAAAJ,College of William and Mary
13580596919564760108,NHZdlVkAAAAJ,Vanderbilt University
13581262640459647335,NVAyqAgAAAAJ,University of California - Santa Cruz
13581729398481026425,YPzKczYAAAAJ,Stanford University
13581771485314089002,CKXeqHoAAAAJ,University of California - San Diego
13581771485314089002,C_r8d0AAAAAJ,Harvard University
13581985240227607289,zXw_54AAAAAJ,Virginia Commonwealth University
13582192171342802062,9NkngDMAAAAJ,University of Minnesota
13582728861651206758,tkb2YWQAAAAJ,Brown University
13583621557255395061,soUq_eQAAAAJ,Johns Hopkins University
13583843599297066404,NoNHPb4AAAAJ,Carnegie Mellon University
13584103097892506919,YhKZXtcAAAAJ,Florida Atlantic University
13584317450092047306,SL6jwLMAAAAJ,Utah State University
13585433367985801829,wCWPJG8AAAAJ,University of California - Santa Cruz
13585467158998108272,8qU-5YMAAAAJ,NJIT
1358547875757248767,gVUD47sAAAAJ,Brown University
1358638859393984575,JLWWzugAAAAJ,Tulane University
13586400208799281022,JinbAIQAAAAJ,University of California - Los Angeles
13587812685094244621,EFCJtEwAAAAJ,Johns Hopkins University
13587812685094244621,r_GU-AwAAAAJ,Purdue University
13588120745274568690,NaVxc4wAAAAJ,University of Virginia
13588544486859971252,-PgNSCAAAAAJ,Florida Atlantic University
13588942308723504707,VP4egzMAAAAJ,George Mason University
13588942308723504707,Zc018qEAAAAJ,University of California - Davis
13589127568725954427,z28rttMAAAAJ,University of Chicago
13590074494317120072,0VFi-vAAAAAJ,Boston University
13590320678933190813,VvXgoAYAAAAJ,Iowa State University
13590428833136591964,38RuCN4AAAAJ,University at Buffalo
13590428833136591964,q387AywAAAAJ,University of Central Florida
13590478108046716537,TPOorDcAAAAJ,Univ. of Illinois at Urbana-Champaign
13590802321086016321,m4zCAPoAAAAJ,University of Michigan
13590832012919247520,5PBPqeQAAAAJ,University of Wisconsin - Madison
13591029510733643197,oHbIF48AAAAJ,University of Massachusetts Amherst
13591034611324863456,z13bIdkAAAAJ,University of Notre Dame
13592576343891120169,eycXl_QAAAAJ,University of South Carolina
13592991222926778646,JbBpeE0AAAAJ,University of Maryland - College Park
13593210143403279959,Wrx-9LUAAAAJ,George Mason University
13593362827114585573,GqnNG-kAAAAJ,University of Tennessee
13594530268005919841,mE0JBT0AAAAJ,CUNY
13594530268005919841,PlgV6FwAAAAJ,NJIT
13594851486131362262,d5PqNPgAAAAJ,Drexel University
13595185504259297650,twWX2LIAAAAJ,New York University
13595571765503742256,BZGj6sAAAAAJ,Texas A&M University
13596246652369619853,v6VYQC8AAAAJ,University of North Carolina
13596273717653804364,eVJ6NTIAAAAJ,University of Chicago
13596273717653804364,xYfYnG4AAAAJ,University of Chicago
13596300365864709798,4Mj-BjwAAAAJ,Pennsylvania State University
13596324405832099155,GP64q_kAAAAJ,University of California - Berkeley
13597176368708919579,KW0FmzgAAAAJ,University of Maryland - College Park
13597442163620885748,4nYbZ0YAAAAJ,Oregon State University
13597509762831706135,9oz-dvgAAAAJ,University of California - San Diego
13597889512080265328,8OW3TMMAAAAJ,Purdue University
13598010639811145784,0pdOqkQAAAAJ,Case Western Reserve University
13598282016598220633,Iq_d12gAAAAJ,University of Arizona
13598409603412392530,gVUD47sAAAAJ,Brown University
13600954840565601294,d0KQ9z0AAAAJ,University of California - Los Angeles
13600977912813183797,a7akgIEAAAAJ,Northeastern University
13600977912813183797,tkoI1M4AAAAJ,Colorado School of Mines
1360133137690446088,4rPcoCEAAAAJ,Wayne State University
13601675317502133755,P1bHFuoAAAAJ,University of Massachusetts Amherst
13602477868534021629,AQ6AppgAAAAJ,Yale University
13602572474758915387,yBuIVfIAAAAJ,University of Texas at San Antonio
13602816151318786756,qjzNW6EAAAAJ,University of California - San Diego
13604361218065366377,9m3beGEAAAAJ,Northwestern University
1360497356488354536,3cozMf4AAAAJ,Georgetown University
13605199170908780234,r49_E2cAAAAJ,Columbia University
13605259727659036954,icDo19sAAAAJ,Rochester Institute of Technology
13605647771014449209,dhwyJggAAAAJ,Virginia Tech
13605704670863351988,hiCKhpkAAAAJ,University of California - Irvine
13606185797633108106,bWTPrLEAAAAJ,Massachusetts Institute of Technology
13607120593110441576,vNHN42cAAAAJ,University of Central Florida
13607160894802659198,M6urChQAAAAJ,University of Texas at Austin
13607205081589533075,_0x5unAAAAAJ,Oregon State University
13607975019730988794,adnTgaAAAAAJ,University of California - Berkeley
13607975019730988794,i38QlUwAAAAJ,Stanford University
1360802659234137287,Dzf46C8AAAAJ,Arizona State University
1360802659234137287,uY6ek7sAAAAJ,University of Virginia
13608082753287743467,y2fSlecAAAAJ,Colorado State University
13608367274794288361,aJdbHAoAAAAJ,Virginia Tech
13609059531829480498,9PW-tPAAAAAJ,University of Nebraska
13609444936385509528,Ph16U5wAAAAJ,Johns Hopkins University
13609516298357308132,J-6Ch9sAAAAJ,Colorado School of Mines
13609530308410251139,8qU-5YMAAAAJ,NJIT
13609535412254952163,j6KFCRAAAAAJ,Boston University
13609667068598457585,wQyhNhwAAAAJ,Oregon State University
13609701286359170336,SGscZDgAAAAJ,University of Louisville
13610284989388808444,9gBvN78AAAAJ,Arizona State University
13610304308606892642,T8-BGRsAAAAJ,University of Pittsburgh
13610865305906954220,M-Z7bAIAAAAJ,Univ. of Maryland - Baltimore County
13611800487384789775,tp07xT0AAAAJ,Stanford University
13612666941494372696,p6w_qmoAAAAJ,University of Tennessee
13613099509535394481,DQaARsgAAAAJ,Rice University
13613099509535394481,SlZavnIAAAAJ,University of California - Berkeley
13613558990372821029,jVOPqi0AAAAJ,University of North Carolina
13613558990372821029,laqfZ-4AAAAJ,Texas A&M University
13613755819380130464,Cmr9ljkAAAAJ,Carnegie Mellon University
13614721408555162284,VFMbBPgAAAAJ,University of North Carolina
13615005689992871113,Wp38QQYAAAAJ,Massachusetts Institute of Technology
13615599040358643400,ELMp9FMAAAAJ,Northern Arizona University
13616556879035541760,6qaOBTMAAAAJ,Florida State University
13616665152135879427,7jNkTbYAAAAJ,Johns Hopkins University
13617504717871392542,92RPXm0AAAAJ,University of Georgia
13617504717871392542,cFgudIYAAAAJ,University of Texas at Arlington
13618694519353881053,CaO1wNAAAAAJ,University of Wisconsin - Madison
13619851125066365121,8AF3RCsAAAAJ,Rutgers University
13620364968314694344,SwzKJ0kAAAAJ,Northeastern University
13620659452116968688,MoFbcc0AAAAJ,Carnegie Mellon University
13620675612906861413,1sMNiJIAAAAJ,Temple University
13620956998278997469,f2Y5nygAAAAJ,West Virginia University
1362124273291377615,J-vrZ58AAAAJ,IUPUI
13621275532674292740,1HYDaVIAAAAJ,Yale University
1362132798283533722,P-6kCNMAAAAJ,University at Buffalo
1362150419832385009,PR-ZnJUAAAAJ,Carnegie Mellon University
13621505993524000410,EAQfVXgAAAAJ,University of Maryland - College Park
13622190021133882434,x05pUHsAAAAJ,Cornell University
13622212832576966716,_Fah5fwAAAAJ,Purdue University
13622591630135053563,7jKj_NcAAAAJ,New Mexico State University
13622791442942021222,zNvgsXAAAAAJ,Boston College
13622850278902923888,a3133-8AAAAJ,University of Arizona
13622966671406618920,kIkHa2IAAAAJ,University of Michigan
13623226153726327097,5qwfn20AAAAJ,Pennsylvania State University
13623624990985658714,nd8lQQIAAAAJ,Carnegie Mellon University
13623715680086467464,vxmUoXEAAAAJ,Northwestern University
13623759760856797055,Lx9fbJoAAAAJ,University of California - Davis
13623998369524974625,I1w51gUAAAAJ,University of California - San Diego
13624352278023521083,mP7h9LcAAAAJ,Wayne State University
1362542167065003056,eq4egiwAAAAJ,University of California - Santa Barbara
13625848666636760413,GaKxFrcAAAAJ,Oregon State University
13626202558197574460,oQsObk0AAAAJ,Stanford University
13627091685570849110,ywTbDsQAAAAJ,University of California - San Diego
13627229500068997069,2M8BWDkAAAAJ,College of William and Mary
13627823576074422781,14rruLUAAAAJ,Drexel University
13628030620973392701,MTMmNecAAAAJ,George Mason University
13628242893754275539,008lr2cAAAAJ,University of California - Santa Barbara
1362828589819807420,qnwjcfAAAAAJ,University of Texas at Austin
13628802763070887038,9Zq_duwAAAAJ,University of Utah
1362887784739024125,46HLWf8AAAAJ,Rice University
13629076030823337810,K_-KJi8AAAAJ,Cornell University
13629076030823337810,U37HVOcAAAAJ,University of California - Santa Barbara
13629158466746551941,We8Oy0EAAAAJ,College of William and Mary
13629265207022798552,_ILTBg0AAAAJ,University of Hawaii at Manoa
13629855341070053636,tMa-iJ8AAAAJ,Tulane University
13629913559514065300,-0rEuLgAAAAJ,Columbia University
13630557470804898332,U6XKBVIAAAAJ,University of New Mexico
13632062390581767533,n6wC7nwAAAAJ,Washington University in St. Louis
13632789604568527873,rx92O6IAAAAJ,University of Maryland - College Park
13632833529149282224,2ZHGNCUAAAAJ,Stony Brook University
13632922798045196710,FGs9EMwAAAAJ,DePaul University
13635662850684623226,0lcJYs8AAAAJ,Columbia University
