Name,University,Bachelors,Masters,Doctorate,PostDoc,JoinYear,Rank,Subfield,Gender,PhotoURL,Sources,LastUpdateBy,LastUpdatedDate
Chitta Baral,Arizona State University,Indian Institute of Technology - Kanpur - India,University of Maryland - College Park - USA,University of Maryland - College Park - USA,,1999,Full,Natural Language & Speech,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/chittabaral.jpg,http://cidse.engineering.asu.edu/directory/chitta-baral/,3459,2016-08-29
Kasim Candan,Arizona State University,Bilkent University - Turkey,,University of Maryland - College Park - USA,,1997,Full,Databases,,,http://cidse.engineering.asu.edu/directory/candan-k-selcuk/,8531,2017-11-02
Charles Colbourn,Arizona State University,University of Toronto - Canada,University of Waterloo - Canada,University of Toronto - Canada,,2001,Full,Networks & Communications,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/Colbourn_Charles_8438b1.jpg,http://cidse.engineering.asu.edu/directory/charles-colbourn/,2,2015-10-09
James Collofello,Arizona State University,Northern Illinois University - USA,Northern Illinois University - USA,Northwestern University - USA,,1979,Full,Software Engineering,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/jamescollofello.jpg,http://cidse.engineering.asu.edu/directory/collofello-james/,2,2015-10-09
Sandeep Gupta ,Arizona State University,,,Ohio State University - USA,,2001,Full,Distributed & Parallel Computing,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/sandeepgupta-featured.jpg,http://cidse.engineering.asu.edu/directory/gupta-sandeep/,8587,2017-11-11
Subbarao Kambhampati,Arizona State University,Indian Institute of Technology - Madras - India,University of Maryland - College Park - USA,University of Maryland - College Park - USA,,1991,Full,Artificial Intelligence,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/subbaraokambhampati.jpg,http://cidse.engineering.asu.edu/directory/subbarao-kambhampati/,2,2015-10-09
Huan Liu ,Arizona State University,Shanghai Jiaotong University - China,University of Southern California - USA,University of Southern California - USA,,2000,Full,Machine Learning & Pattern Recognition,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/huanliu.jpg,http://cidse.engineering.asu.edu/directory/huan-liu/,7171,2017-04-12
Arunabha Sen ,Arizona State University,,,University of South Carolina - USA,,1987,Full,Networks & Communications,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/Sen-Arun.jpg,http://cidse.engineering.asu.edu/directory/sen-arunabha/,8587,2017-11-29
Wei-Tek Tsai,Arizona State University,,,University of California - Berkeley - USA,,2000,Full,Distributed & Parallel Computing,,,http://cidse.engineering.asu.edu/directory/tsai-wei-tek/,8875,2017-12-18
Kurt VanLehn,Arizona State University,,,Massachusetts Institute of Technology - USA,,2008,Full,Machine Learning & Pattern Recognition,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/VanLehn-Kurt.jpg,http://cidse.engineering.asu.edu/directory/kurt-vanlehn/,2,2015-10-09
Guoliang Xue,Arizona State University,Qufu Normal University - China,Qufu Normal University - China,University of Minnesota - Twin Cities - USA,,2001,Full,Security & Privacy,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/Xue-Guoliang-213x300.jpg,http://cidse.engineering.asu.edu/directory/xue-guoliang/,2,2015-10-09
Rida Bazzi,Arizona State University,American University of Beirut - Lebanon,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,1996,Associate,Security & Privacy,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/ridabazzi.jpg,http://cidse.engineering.asu.edu/directory/rida-bazzi/,6734,2017-02-27
Partha Dasgupta,Arizona State University,Indian Institute of Technology - Kharagpur - India,Indian Institute of Technology - Kharagpur - India,Stony Brook University - USA,,1991,Associate,Security & Privacy,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/parthadasgupta-featured.jpg,http://cidse.engineering.asu.edu/directory/dasgupta-partha/,8361,2017-10-05
Hasan Davulcu,Arizona State University,Middle East Technical University - Turkey,Stony Brook University - USA,Stony Brook University - USA,,,Associate,Data Mining,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/hasandavulcu-featured.jpg,http://cidse.engineering.asu.edu/directory/davulcu-hasan/,2,2015-10-09
Joohyung Lee,Arizona State University,Seoul National University - Seoul - Korea,,University of Texas - Austin - USA,,2005,Associate,Natural Language & Speech,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/joohyunglee.jpg,http://cidse.engineering.asu.edu/directory/joohyung-lee/,8010,2017-07-31
Brian Nelson,Arizona State University,Washington State University - USA,Saint Michaels College - USA,Harvard University - USA,,,Associate,Computer Education,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/BrianNelson.jpg,http://cidse.engineering.asu.edu/directory/nelson-brian/,2,2015-10-09
Andrea Richa,Arizona State University,Federal University of Rio de Janeiro - Brazil,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,1998,Associate,Algorithms & Theory,Female,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/andrearicha.jpg,http://cidse.engineering.asu.edu/directory/andrea-richa/,8538,2017-11-03
Violet Syrotiuk,Arizona State University,University of Alberta - Canada,University of British Columbia - Canada,University of Waterloo - Canada,,2002,Associate,Networks & Communications,Female,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/violetsyrotiuk.jpg,http://cidse.engineering.asu.edu/directory/syrotiuk-violet/,2,2015-10-09
Peter Wonka,Arizona State University,Vienna University of Technology - Austria,Vienna University of Technology - Austria,Vienna University of Technology - Austria,,2004,Associate,Graphics,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/peterwonka-featured.jpg,http://cidse.engineering.asu.edu/directory/wonka-peter/,2,2015-10-09
Jieping Ye,Arizona State University,Fudan University - Shanghai - China,National University of Singapore - Singapore,University of Minnesota - Twin Cities - USA,,2005,Associate,Machine Learning & Pattern Recognition,,,http://cidse.engineering.asu.edu/directory/ye-jieping/,8720,2017-11-28
Georgios Fainekos,Arizona State University,National Technical University of Athens - Greece,University of Pennsylvania - USA,University of Pennsylvania - USA,,2009,Assistant,Real-Time & Embedded Systems,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/georgiosfainekos-featured.jpg,http://cidse.engineering.asu.edu/directory/fainekos-georgios/,2,2015-10-09
Aviral Shrivastava,Arizona State University,Indian Institute of Technology - Delhi - India,University of California - Irvine - USA,University of California - Irvine - USA,,2006,Assistant,Real-Time & Embedded Systems,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/aviralshrivastava.jpg,http://cidse.engineering.asu.edu/directory/shrivastava-aviral/,9162,2018-03-14
Yalin Wang,Arizona State University,Tsinghua University - Beijing - China,Tsinghua University - Beijing - China,University of Washington - USA,,2010,Assistant,Computer Vision,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/yalinwang-featured.jpg,http://cidse.engineering.asu.edu/directory/wang-yalin/,2,2015-10-09
Assaf J. Kfoury,Boston University,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,,Full,Programming Languages,,,http://www.cs.bu.edu/fac/kfoury/,1062,2018-03-02
Azer Bestavros,Boston University,Alexandria University - Egypt,Alexandria University - Egypt,Harvard University - USA,,1991,Full,Networks & Communications,Male,http://azer.bestavros.net/,http://azer.bestavros.net/,2,2015-10-09
Evimaria Terzi,Boston University,Aristotle University of Thessaloniki - Greece,Purdue University - USA,University of Helsinki - Finland,Helsinki Institute for Information Technology - Finland,2009,Associate,Data Mining,Female,http://www.bu.edu/cs/files/2011/10/Terzi.jpg,http://www.cs.bu.edu/fac/evimaria/,2,2015-10-09
George Kollios,Boston University,National Technical University of Athens - Greece,Polytechnic University - Brooklyn - New York - USA,Polytechnic University - Brooklyn - New York - USA,,2000,Full,Databases,Male,http://www.cs.bu.edu/fac/gkollios/,http://www.cs.bu.edu/fac/gkollios/,2,2015-10-09
Hongwei Xi,Boston University,Nanjing University - Ch,,Carnegie Mellon University - USA,,2001,Associate,Programming Languages,Male,http://www.bu.edu/cs/files/2011/10/Xi.jpg,http://www.cs.bu.edu/fac/hwxi/,2,2015-10-09
Ibrahim Matta,Boston University,Alexandria University - Egypt,Alexandria University - Egypt,University of Maryland - College Park - USA,,1999,Full,Networks & Communications,,,http://www.cs.bu.edu/fac/matta/,1062,2016-08-11
John Byers,Boston University,Cornell University - USA,,University of California - Berkeley - USA,,1999,Full,Networks & Communications,Male,http://www.bu.edu/cs/files/2011/10/Byers.jpg,http://www.cs.bu.edu/fac/byers/,2,2015-10-09
Jonathan Appavoo,Boston University,McMaster University - Canada,University of Toronto - Canada,University of Toronto - Canada,IBM Research - Zurich - Switzerland,2009,Assistant,Distributed & Parallel Computing,Male,http://www.bu.edu/cs/files/2011/10/Appavoo1.jpg,http://www.cs.bu.edu/fac/jappavoo/jappavoo.github.com/index.html,2,2015-10-09
Leonid Levin,Boston University,Moscow State University - Russia,Moscow State University - Russia,Moscow State University - Russia,,1980,Full,Algorithms & Theory,Male,http://www.bu.edu/cs/files/2011/10/Levin-e1352396122178.jpg,http://www.bu.edu/cs/leonid-levin/,2,2015-10-09
Leonid Reyzin,Boston University,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,2001,Associate,Security & Privacy,Male,http://www.bu.edu/cs/files/2011/10/Reyzin.jpg,http://www.cs.bu.edu/fac/reyzin/,2,2015-10-09
Lorenzo Orecchia,Boston University,Princeton University - USA,,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,2014,Assistant,Algorithms & Theory,Male,http://www.bu.edu/cs/lorenzo-orecchia/,http://orecchia.net/,8429,2017-10-18
Margrit Betke,Boston University,University of Bonn - Germany,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,2000,Full,Computer Vision,Female,http://www.bu.edu/cs/files/2013/01/MBetke-2012.jpg,http://www.cs.bu.edu/fac/betke/,2,2015-10-09
Mark Crovella,Boston University,Cornell University - USA,State University of New York - Buffalo - USA,University of Rochester - USA,,1994,Full,Networks & Communications,Male,http://www.bu.edu/cs/files/2011/10/Crovella.jpg,http://www.cs.bu.edu/fac/crovella/,2,2015-10-09
Peter Gacs,Boston University,,Eotvos University - Budapest - Hungary,J.W. Goethe University Frankfurt am Main - Germany,,1984,Full,Algorithms & Theory,Male,http://www.bu.edu/cs/files/2011/10/Gacs.jpg,http://www.cs.bu.edu/fac/gacs/,2,2015-10-09
Ran Canetti,Boston University,,,Weizmann Institute of Science - Israel,,,Full,Security & Privacy,Male,http://www.bu.edu/cs/files/2012/04/canetti-thumb.jpg,http://www.cs.bu.edu/~canetti/,6267,2017-01-12
Richard West,Boston University,University of Newcastle - United Kindom,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,2006,Associate,Operating Systems,Male,http://www.bu.edu/cs/files/2011/10/West.jpg,http://www.cs.bu.edu/fac/richwest/,2,2015-10-09
Sharon Goldberg,Boston University,University of Toronto - Canada,Princeton University - USA,Princeton University - USA,Microsoft Research - USA,2010,Assistant,Security & Privacy,Female,http://www.bu.edu/cs/files/2012/08/Sharon_small.jpg,http://www.cs.bu.edu/fac/goldbe/,7436,2017-05-17
Stan Sclaroff,Boston University,Tufts University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,1995,Full,Computer Vision,Male,http://www.bu.edu/cs/files/2011/10/Sclaroff.jpg,http://www.cs.bu.edu/fac/sclaroff/,2,2015-10-09
Steve Homer,Boston University,University of California - Berkeley - USA,,Massachusetts Institute of Technology - USA,,1982,Full,Algorithms & Theory,Male,http://www.bu.edu/cs/files/2011/10/Homer.jpg,http://www.cs.bu.edu/fac/homer/,2,2015-10-09
Wayne Snyder,Boston University,,Tufts University - USA,University of Pennsylvania - USA,,1995,Associate,Multimedia,Male,http://www.bu.edu/cs/files/2011/10/Snyder.jpg,http://www.cs.bu.edu/fac/snyder/,2,2015-10-09
Amy Greenwald,Brown University,University of Pennsylvania - USA,University of Oxford - United Kingdom,New York University - USA,IBM Thomas J. Watson Research Center - USA,2000,Associate,Artificial Intelligence,Female,https://cs.brown.edu/people/faculty/amy_greenwald.jpg,https://research.brown.edu/pdf/1106970084.pdf?nocache=815818275http://cs.brown.edu/people/faculty/amy.html,9164,2018-03-14
Andries van Dam,Brown University,Swarthmore College - USA,University of Pennsylvania - USA,University of Pennsylvania - USA,,1965,Full,Graphics,Male,https://cs.brown.edu/people/faculty/andries_van_dam.jpg,http://cs.brown.edu/people/faculty/avd.html,2,2015-10-09
Anna Lysyanskaya,Brown University,Smith College - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,2002,Full,Security & Privacy,Female,https://cs.brown.edu/people/faculty/anna_lysyanskaya.jpg,https://research.brown.edu/pdf/1106970028.pdf?nocache=50031346,2,2015-10-09
Benjamin Raphael,Brown University,Massachusetts Institute of Technology - USA,,University of California - San Diego - USA,University of California - San Diego - USA,2006,Associate,Bioinformatics & Computational Biology,Male,https://cs.brown.edu/people/faculty/ben_j._raphael.jpg,https://research.brown.edu/pdf/1154701099.pdf?nocache=646513249,5436,2016-12-15
Chad Jenkins,Brown University,Alma College - USA,Georgia Institute of Technology - USA,University of Southern California - USA,,2004,Full,Artificial Intelligence,Male,https://cs.brown.edu/people/faculty/chad_jenkins.jpg,https://research.brown.edu/pdf/10404.pdf?nocache=22312599,267,2016-06-18
Claire Mathieu,Brown University,University of Paris VII: Denis Diderot - France,Paris XI - France,Paris XI - France,Princeton University - USA,2004,Full,Algorithms & Theory,,,http://cs.brown.edu/people/claire/vita-public.pdf,521,2016-07-24
David Laidlaw,Brown University,Brown University - USA,Brown University - USA,California Institute of Technology - USA,California Institute of Technology - USA,1998,Full,Graphics,,,https://research.brown.edu/pdf/1106970029.pdf?nocache=2041876042,5564,2016-12-28
Eli Upfal,Brown University,Hebrew University of Jerusalem - Israel,Weizmann Institute of Science - Israel,Hebrew University of Jerusalem - Israel,Stanford University - USA,1998,Full,Algorithms & Theory,Male,https://cs.brown.edu/people/faculty/eli_upfal.jpg,http://cs.brown.edu/people/eli/biography.htm,2,2015-10-09
Erik Sudderth,Brown University,University of California - San Diego - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,2009,Assistant,Machine Learning & Pattern Recognition,Male,https://cs.brown.edu/people/faculty/erik_sudderth.jpg,http://cs.brown.edu/people/sudderth/bio.html,10784,2018-11-22
Eugene Charniak,Brown University,University of Chicago - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,1978,Full,Natural Language & Speech,Male,https://cs.brown.edu/people/faculty/eugene_charniak.jpg,http://cs.brown.edu/people/faculty/ec/,2,2015-10-09
Franco Preparata,Brown University,,,University of Rome - La Sapienza - Italy,Consiglio Nazionale delle Ricerche - Italy,1991,Full,Algorithms & Theory,Male,https://cs.brown.edu/people/faculty/franco_p._preparata.jpg,https://research.brown.edu/pdf/1106970027.pdf?nocache=1294867772,2,2015-10-09
James Hays,Brown University,Georgia Institute of Technology - USA,,Carnegie Mellon University - USA,Massachusetts Institute of Technology - USA,2009,Assistant,Computer Vision,Male,https://cs.brown.edu/people/faculty/james_hays.jpg,http://cs.brown.edu/people/hays/,3866,2016-09-07
Jeff Huang,Brown University,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,University of Washington - USA,,2013,Assistant,Human-Computer Interaction,Male,http://engineering.tamu.edu/media/1462018/jeffhuang-tamu-web.jpg,http://jeffhuang.com/,2,2015-10-09
John Hughes,Brown University,Princeton University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,1984,Full,Graphics,Male,https://cs.brown.edu/people/faculty/john_f._hughes.jpg,https://research.brown.edu/pdf/1106970082.pdf?nocache=1528204531,2,2015-10-09
John Savage,,,,Not Applied
Maurice Herlihy,Brown University,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,1994,Full,Distributed & Parallel Computing,Male,https://cs.brown.edu/people/faculty/maurice_herlihy.jpg,https://research.brown.edu/pdf/1106970166.pdf?nocache=2117333914,2,2015-10-09
Michael Littman,Brown University,Yale University - USA,Yale University - USA,Brown University - USA,,2012,Full,Machine Learning & Pattern Recognition,Male,https://cs.brown.edu/people/faculty/faces/mlittman.jpg,https://research.brown.edu/myresearch/Michael_Littman,2,2015-10-09
Paul Valiant,Brown University,Stanford University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,2013,Assistant,Algorithms & Theory,Male,https://cs.brown.edu/people/faculty/faces/pvaliant.jpg,http://news.brown.edu/new-faculty/2012-13/paul-valiant,2,2015-10-09
Pedro Felzenszwalb,Brown University,Cornell University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,2011,Associate,Computer Vision,Male,https://cs.brown.edu/people/faculty/pedro_felzenszwalb.jpg,http://cs.brown.edu/people/pff/,8435,2017-10-18
Philip Klein,Brown University,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Harvard University - USA,1989,Full,Algorithms & Theory,Male,https://cs.brown.edu/people/faculty/philip_klein.jpg,https://research.brown.edu/pdf/1106970030.pdf?nocache=1823784020,2,2015-10-09
Roberto Tamassia,Brown University,,University of Rome - La Sapienza - Italy,University of Illinois at Urbana-Champaign - USA,,1988,Full,Security & Privacy,Male,https://cs.brown.edu/people/faculty/ravindra_pendse.jpg,https://research.brown.edu/research/profile.php?id=1106970024&r=1,2,2015-10-09
Rodrigo Fonseca,Brown University,Universidade Federal de Minas Gerais - Brazil,Universidade Federal de Minas Gerais - Brazil,University of California - Berkeley - USA,Yahoo Research - USA,2009,Assistant,Networks & Communications,Male,https://cs.brown.edu/people/faculty/rodrigo_fonseca.jpg,https://research.brown.edu/pdf/1270227184.pdf?nocache=991428578,30744,2019-03-11
Shriram Krishnamurthi,Brown University,Ohio Wesleyan University - USA,,Rice University - USA,,2000,Full,Programming Languages,Male,https://cs.brown.edu/people/faculty/shriram_krishnamurthi.jpg,https://research.brown.edu/pdf/1134569382.pdf?nocache=898518043,2,2015-10-09
Sorin Istrail,Brown University,Alexandru Ioan Cuza University - Romania,,University of Bucharest - Romania,,2005,Full,Bioinformatics & Computational Biology,Male,https://cs.brown.edu/people/faculty/sorin_istrail.jpg,https://research.brown.edu/pdf/1127248942.pdf?nocache=630690591,2,2015-10-09
Stan Zdonik,Brown University,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,1983,Full,Databases,Male,https://cs.brown.edu/people/faculty/stan_zdonik.jpg,http://www.cs.brown.edu/~sbz/,2,2015-10-09
Stefanie Tellex,Brown University,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,2013,Assistant,Artificial Intelligence,Female,https://cs.brown.edu/people/faculty/faces/stefie10.jpg,http://cs.brown.edu/people/stefie10/index.html,10832,2018-12-23
Steven Reiss,Brown University,Dartmouth College - USA,Yale University - USA,Yale University - USA,,1977,Full,Software Engineering,Male,https://cs.brown.edu/people/faculty/steven_reiss.jpg,https://research.brown.edu/pdf/1106970168.pdf?nocache=421235222,2,2015-10-09
Thomas Doeppner,Brown University,Cornell University - USA,Princeton University - USA,Princeton University - USA,,1981,Research,Operating Systems,,,https://research.brown.edu/pdf/1106970085.pdf?nocache=597043778,5,2019-05-27
Tim Kraska,Brown University,University of Münster - Germany,University of Sydney - Australia,Swiss Federal Institute of Technology (ETH) - Switzerland,University of California - Berkeley - USA,2013,Assistant,Databases,Male,https://cs.brown.edu/people/faculty/faces/kraskat.jpg,http://cs.brown.edu/people/kraskat/cv.html,2,2019-03-05
Ugur Cetintemel,Brown University,Bilkent University - Turkey,Bilkent University - Turkey,University of Maryland - College Park - USA,,2001,Full,Databases,Male,https://cs.brown.edu/people/faculty/ugur_cetintemel.jpg,https://sites.google.com/a/brown.edu/ugur-cetintemel/,2,2015-10-09
Adam Wierman ds,California Institute of Technology,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,2007,Full,Operating Systems,Male,http://www.cms.caltech.edu/photos/1576-adam-wierman.jpg,http://users.cms.caltech.edu/~adamw/,2,2015-10-09
Alain J. Martin,California Institute of Technology,Aix-Marseille University - France,,Institut National Polytechnique de Grenoble - France,,1969,Full,Hardware & Architecture,Male,http://www.cms.caltech.edu/photos/1268-martin-a.jpg,http://users.cms.caltech.edu/~alains/,2,2015-10-09
Alan H. Barrfdfddfdf,California Institute of Technology,Rensselaer Polytechnic Institute - USA,Rensselaer Polytechnic Institute - USA,Indian Institute of Technology - Kanpur - India,,1984,Full,Graphics,Male,http://www.cms.caltech.edu/photos/1334-barr-a.jpg,http://www.gg.caltech.edu/index.html,2,2015-10-09
Christopher Umans,California Institute of Technology,Williams College - USA,,University of California - Berkeley - USA,Microsoft Research - USA,2002,Full,Algorithms & Theory,Male,http://www.cms.caltech.edu/photos/1188-umans-c.jpg,http://users.cms.caltech.edu/~umans/,2,2015-10-09
Erik Winfree,California Institute of Technology,University of Chicago - USA,,California Institute of Technology - USA,Princeton University - USA,2000,Full,Bioinformatics & Computational Biology,Male,http://www.cms.caltech.edu/photos/1166-winfree-e.jpg,http://www.dna.caltech.edu/~winfree/,2,2015-10-09
Katrina Ligett,California Institute of Technology,Brown University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Cornell University - USA,2011,Assistant,Algorithms & Theory,Female,http://www.cms.caltech.edu/photos/1486-katrina-ligett.jpg,http://users.cms.caltech.edu/~katrina/,8429,2017-10-18
Leonard J. Schulman,California Institute of Technology,Massachusetts Institute of Technology - USA,,Massachusetts Institute of Technology - USA,,2000,Full,Algorithms & Theory,Male,http://www.cms.caltech.edu/photos/1186-schulman-l.jpg,http://users.cms.caltech.edu/~schulman/,2,2015-10-09
Mathieu Desbrun,California Institute of Technology,École Nationale Supérieure d'Informatique et de Mathématiques Appliquées de Grenoble - France,Institut National Polytechnique de Grenoble - France,Institut National Polytechnique de Grenoble - France,,1997,Full,Graphics,,,http://www.geometry.caltech.edu/~mathieu/,24999,2019-02-18
Peter Schroeder,California Institute of Technology,Technical University of Berlin - Germany,Massachusetts Institute of Technology - USA,Princeton University - USA,,1995,Full,Graphics,Male,http://www.cms.caltech.edu/photos/1184-schroder-p.jpg,http://www.cms.caltech.edu/people/3197/profile,2,2015-10-09
Steven Low,California Institute of Technology,Cornell University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,2000,Full,Networks & Communications,Male,http://www.cms.caltech.edu/photos/1182-low-s.jpg,http://users.cms.caltech.edu/~slow/,2,2015-10-09
Thomas Vidick,California Institute of Technology,École Normale Supérieure - France,University of Paris VII: Denis Diderot - France,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,2014,Assistant,Scientific Computing,,,http://people.csail.mit.edu/vidick/,4587,2016-10-21
Tracey C. Ho,California Institute of Technology,Massachusetts Institute of Technology - USA,California Institute of Technology - USA,California Institute of Technology - USA,University of Illinois at Urbana-Champaign - USA,2005,Assistant,Networks & Communications,,,http://www.its.caltech.edu/~tho/,4587,2016-10-21
Venkat Chandrasekaran,California Institute of Technology,Rice University - USA,,Massachusetts Institute of Technology - USA,,2012,Assistant,Algorithms & Theory,,,http://users.cms.caltech.edu/~venkatc/,1062,2016-08-11
Yaser S. Abu-Mostafa,California Institute of Technology,Cairo University - Cairo - Egypt,Georgia Institute of Technology - USA,California Institute of Technology - USA,,1983,Full,Machine Learning & Pattern Recognition,Male,http://www.cms.caltech.edu/photos/1332-yaser-abu-mostafa.jpg,http://www.work.caltech.edu/,2,2015-10-09
Yisong Yue,California Institute of Technology,University of Illinois at Urbana-Champaign - USA,,Cornell University - USA,Carnegie Mellon University - USA,2014,Assistant,Machine Learning & Pattern Recognition,,,http://www.yisongyue.com/,1062,2016-08-11
Aarti Singh,Carnegie Mellon University,University of Delhi - India,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,Princeton University - USA,2009,Assistant,Machine Learning & Pattern Recognition,,,http://www.cs.cmu.edu/~aarti/bio-aarti_online.pdf,7014,2017-04-03
Adrien Treuille,Carnegie Mellon University,,,University of Washington - USA,University of Washington - USA,2008,Assistant,Scientific Computing,Male,http://www.cmu.edu/cnast/images/treuille.png,http://www.cs.cmu.edu/~treuille/,7014,2017-04-03
Alan Black,Carnegie Mellon University,Coventry University - United Kingdom,University of Edinburgh - United Kingdom,University of Edinburgh - United Kingdom,,1999,Full,Natural Language & Speech,,,http://en.wikipedia.org/wiki/Alan_W._Black,4587,2016-10-21
Alan Montgomery,Carnegie Mellon University,University of Illinois at Chicago - USA,University of Chicago - USA,University of Chicago - USA,,1999,Associate,Data Mining,,,http://public.tepper.cmu.edu/facultydirectory/FacultyDirectoryProfile.aspx?id=100,7014,2017-04-03
Alexander J. Smola,Carnegie Mellon University,Technical University of Munich - Germany,Technical University of Munich - Germany,Technical University of Berlin - Germany,,2013,Full,Machine Learning & Pattern Recognition,,,http://alex.smola.org/,4587,2016-10-21
Alexander Waibel,Carnegie Mellon University,Massachusetts Institute of Technology - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,,Full,Machine Learning & Pattern Recognition,,,http://www.cs.cmu.edu/~ahw/bio.html,4587,2016-10-21
Amy Ogan,Carnegie Mellon University,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,2014,Assistant,Computer Education,,,http://amyogan.com/,7014,2017-04-03
Andre Platzer,Carnegie Mellon University,,Karlsruhe Institute of Technology - Germany,Carl von Ossietzky University of Oldenburg - Germany,,2008,Assistant,Scientific Computing,Male,http://symbolaris.com/meta/andre.platzer.png,http://symbolaris.com/meta/Platzer-CV.pdf,7014,2017-04-03
Andrew Moore,Carnegie Mellon University,,,University of Cambridge - United Kingdom,Massachusetts Institute of Technology - USA,1993,Full,Machine Learning & Pattern Recognition,Male,http://www.cs.cmu.edu/~awm/andrewmoore-201x201-02.jpg,http://www-2.cs.cmu.edu/~awm/,2,2015-10-09
Andy Pavlo,Carnegie Mellon University,Rochester Institute of Technology - USA,Brown University - USA,Brown University - USA,,2013,Assistant,Databases,,,http://www.cs.cmu.edu/~pavlo/,4587,2016-10-21
Aniket Kittur,Carnegie Mellon University,Princeton University - USA,,University of California - Los Angeles - USA,,2007,Assistant,Human-Computer Interaction,,,http://kittur.org/img/Kittur_CV.pdf,7014,2017-04-03
Anind Dey,Carnegie Mellon University,Simon Fraser University - Canada,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,2004,Associate,Human-Computer Interaction,,,http://www.cs.cmu.edu/~anind/,10022,2018-06-28
Ann Lee,Carnegie Mellon University,Chalmers University of Technology - Sweden,Chalmers University of Technology - Sweden,Brown University - USA,,2005,Associate,Machine Learning & Pattern Recognition,,,http://www.stat.cmu.edu/~annlee/CV_Lee.pdf,7014,2017-04-03
Anupam Datta,Carnegie Mellon University,Indian Institute of Technology - Kharagpur - India,Stanford University - USA,Stanford University - USA,,2007,Associate,Security & Privacy,Female,https://www.andrew.cmu.edu/user/danupam/ad.jpg,https://www.andrew.cmu.edu/user/danupam/,1976,2016-08-28
Anupam Gupta,Carnegie Mellon University,Indian Institute of Technology - Kanpur - India,,University of California - Berkeley - USA,,2004,Associate,Algorithms & Theory,Female,https://www.linkedin.com/in/anupamgupta,http://www.cs.cmu.edu/~anupamg/,5902,2016-12-28
Ariel Procaccia,Carnegie Mellon University,Hebrew University of Jerusalem - Israel,,Hebrew University of Jerusalem - Israel,Microsoft Israel R&D Center - Harvard University - USA,2011,Assistant,Artificial Intelligence,Male,http://www.cs.cmu.edu/sites/default/files/ariel-procaccia.jpg,http://www.cs.cmu.edu/~arielpro/cv.html,2,2015-10-09
